ID;LOCAL_VIA;LOG1;LOG2;PREDIAL1;LOCAL;TIPO_ACID;DATA_HORA;DIA_SEM;FERIDOS;MORTES;MORTE_POST;FATAIS;AUTO;TAXI;LOTACAO;ONIBUS_URB;ONIBUS_INT;CAMINHAO;MOTO;CARROCA;BICICLETA;OUTRO;TEMPO;NOITE_DIA;FONTE;BOLETIM;REGIAO;DIA;MES;ANO;FX_HORA;CONT_ACID;CONT_VIT;UPS;LATITUDE;LONGITUDE
281704;120 R DR SALVADOR FRANCA;R DR SALVADOR FRANCA;;120;Logradouro;CHOQUE;20010101 01:11;SEGUNDA-FEIRA;1;0;0;0;1;0;0;0;0;0;0;0;0;0;BOM;DIA;DEPTRAN;;LESTE;1;1;2001;1;1;1;5;-30,06194163;-51,1851264
211186;1865 AV BENTO GONCALVES;AV BENTO GONCALVES;;1865;Logradouro;COLISAO;20010101 02:30;SEGUNDA-FEIRA;1;0;0;0;1;0;0;0;0;0;1;0;0;0;BOM;NOITE;DEPTRAN;101;LESTE;1;1;2001;2;1;1;5;-30,05793541;-51,19555643
205825;1567 AV PADRE CACIQUE;AV PADRE CACIQUE;;1567;Logradouro;COLISAO;20010101 03:30;SEGUNDA-FEIRA;1;0;0;0;2;0;0;0;0;0;0;0;0;0;BOM;NOITE;DEPTRAN;401;SUL;1;1;2001;3;1;1;5;-30,07350858;-51,24136142
207418;108 R PRIMEIRO DE MARCO;R PRIMEIRO DE MARCO;;108;Logradouro;COLISAO;20010101 04:00;SEGUNDA-FEIRA;1;0;0;0;2;0;0;0;0;0;0;0;0;0;BOM;NOITE;DEPTRAN;a301;LESTE;1;1;2001;4;1;1;5;-30,06630296;-51,16935431
283444;832 R MARIANTE;R MARIANTE;;832;Logradouro;ABALROAMENTO;20010101 04:18;SEGUNDA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;0;BOM;NOITE;EPTC;;LESTE;1;1;2001;4;1;0;1;-30,03503114;-51,20416695
284851;R ARAPEI & R CRUZEIRO DO SUL;R ARAPEI;R CRUZEIRO DO SUL;0;Cruzamento;ATROPELAMENTO;20010101 05:30;SEGUNDA-FEIRA;2;0;0;0;1;0;0;0;0;0;0;0;0;0;BOM;NOITE;DEPTRAN;601;SUL;1;1;2001;5;1;1;5;-30,08660084;-51,23137263
282757;4822 AV BALTAZAR DE OLIVEIRA GARCIA;AV BALTAZAR DE OLIVEIRA GARCIA;;4822;Logradouro;CAPOTAGEM;20010101 06:30;SEGUNDA-FEIRA;1;1;0;1;1;0;0;0;0;0;0;0;0;0;BOM;NOITE;DEPTRAN;501;NORTE;1;1;2001;6;1;1;13;-30,0128131;-51,09803601
205787;R ANGELO CRIVELLARO & R GRACILIANO RAMOS;R ANGELO CRIVELLARO;R GRACILIANO RAMOS;0;Cruzamento;EVENTUAL;20010101 07:02;SEGUNDA-FEIRA;0;0;0;0;1;0;0;0;0;1;0;0;0;0;CHUVOSO;DIA;EPTC;;LESTE;1;1;2001;7;1;0;1;-30,0491749;-51,16805285
210374;4201 R VOLUNTARIOS DA PATRIA;R VOLUNTARIOS DA PATRIA;;4201;Logradouro;CHOQUE;20010101 07:06;SEGUNDA-FEIRA;0;0;0;0;1;0;0;0;0;0;0;0;0;0;BOM;DIA;EPTC;;NORTE;1;1;2001;7;1;0;1;-29,99808893;-51,20592102
212177;3372 AV FARRAPOS;AV FARRAPOS;;3372;Logradouro;CHOQUE;20010101 07:45;SEGUNDA-FEIRA;2;0;0;0;1;0;0;0;0;0;0;0;0;0;BOM;DIA;DEPTRAN;701;NORTE;1;1;2001;7;1;1;5;-30,00316208;-51,19984307
206928;5311 AV PROTASIO ALVES;AV PROTASIO ALVES;;5311;Logradouro;COLISAO;20010101 07:50;SEGUNDA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;0;BOM;DIA;EPTC;;LESTE;1;1;2001;7;1;0;1;-30,04099505;-51,15867752
210192;517 AV GETULIO VARGAS;AV GETULIO VARGAS;;517;Logradouro;COLISAO;20010101 09:35;SEGUNDA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;0;BOM;DIA;EPTC;;SUL;1;1;2001;9;1;0;1;-30,04904686;-51,22176654
205083;730 ESTR DAS TRES MENINAS;ESTR DAS TRES MENINAS;;730;Logradouro;COLISAO;20010101 15:34;SEGUNDA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;0;BOM;DIA;EPTC;;SUL;1;1;2001;15;1;0;1;-30,12009366;-51,19703805
208583;AV JUSCELINO KUBITSCHEK DE OLIVEIRA & R SARGENTO SILVIO DELMAR HOLLENBACH;AV JUSCELINO KUBITSCHEK DE OLIVEIRA;R SARGENTO SILVIO DELMAR HOLLENBACH;0;Cruzamento;ABALROAMENTO;20010101 18:40;SEGUNDA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;0;BOM;DIA;EPTC;;NORTE;1;1;2001;18;1;0;1;-30,02092991;-51,10979737
289341;AV BENTO GONCALVES & R PROF CRISTIANO FISCHER;AV BENTO GONCALVES;R PROF CRISTIANO FISCHER;4592;Cruzamento;COLISAO;20010101 18:50;SEGUNDA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;0;BOM;DIA;EPTC;;LESTE;1;1;2001;18;1;0;1;-30,06160893;-51,16969719
282585;R LANDEL DE MOURA & R PROF DR JOAO PITTA PINHEIRO FILHO;R LANDEL DE MOURA;R PROF DR JOAO PITTA PINHEIRO FILHO;0;Cruzamento;ABALROAMENTO;20010101 20:30;SEGUNDA-FEIRA;1;0;0;0;2;0;0;0;0;0;0;0;0;0;BOM;NOITE;DEPTRAN;801;SUL;1;1;2001;20;1;1;5;-30,10905886;-51,23525626
287475;R SARMENTO LEITE & AV OSVALDO ARANHA;R SARMENTO LEITE;AV OSVALDO ARANHA;0;Cruzamento;ABALROAMENTO;20010101 20:30;SEGUNDA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;0;BOM;NOITE;EPTC;;CENTRO;1;1;2001;20;1;0;1;-30,03222881;-51,22045709
288684;AV DR NILO PECANHA & R REGENTE;AV DR NILO PECANHA;R REGENTE;620;Cruzamento;CHOQUE;20010101 22:30;SEGUNDA-FEIRA;0;0;0;0;1;0;0;0;0;0;1;0;0;0;BOM;NOITE;EPTC;;LESTE;1;1;2001;22;1;0;1;-30,03011853;-51,18261555
208565;390 R SARGENTO SILVIO DELMAR HOLLENBACH;R SARGENTO SILVIO DELMAR HOLLENBACH;;390;Logradouro;CHOQUE;20010102 00:37;TERCA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;0;BOM;NOITE;EPTC;;NORTE;2;1;2001;0;1;0;1;-30,02013191;-51,10972535
284796;963 R DR MARIO TOTTA;R DR MARIO TOTTA;;963;Logradouro;CHOQUE;20010102 02:00;TERCA-FEIRA;1;0;0;0;1;0;0;0;0;0;0;0;0;0;BOM;NOITE;DEPTRAN;1201;SUL;2;1;2001;2;1;1;5;-30,11316259;-51,25040456
211470;983 R MARIANO DE MATOS;R MARIANO DE MATOS;;983;Logradouro;CHOQUE;20010102 05:30;TERCA-FEIRA;1;0;0;0;1;0;0;0;0;0;0;0;0;0;BOM;NOITE;DEPTRAN;1301;SUL;2;1;2001;5;1;1;5;-30,0681591;-51,21366593
209522;715 AV PROF OSCAR PEREIRA;AV PROF OSCAR PEREIRA;;715;Logradouro;ABALROAMENTO;20010102 08:40;TERCA-FEIRA;2;0;0;0;2;0;0;0;0;0;0;0;0;0;BOM;DIA;DEPTRAN;1601;LESTE;2;1;2001;8;1;1;5;-30,05810614;-51,20911361
207933;AV MISSOES & R CAIRU;AV MISSOES;R CAIRU;28;Cruzamento;CHOQUE;20010102 09:10;TERCA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;0;BOM;DIA;EPTC;;NORTE;2;1;2001;9;1;0;1;-30,00281896;-51,20596514
284478;R CASEMIRO DE ABREU & R ENG OLAVO NUNES;R CASEMIRO DE ABREU;R ENG OLAVO NUNES;1351;Cruzamento;CHOQUE;20010102 09:30;TERCA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;0;BOM;DIA;EPTC;;LESTE;2;1;2001;9;1;0;1;-30,03341234;-51,19326377
284449;AV ASSIS BRASIL & R XAVIER DE CARVALHO;AV ASSIS BRASIL;R XAVIER DE CARVALHO;6352;Cruzamento;EVENTUAL;20010102 09:35;TERCA-FEIRA;0;0;0;0;2;0;0;0;0;1;0;0;0;0;BOM;DIA;EPTC;;NORTE;2;1;2001;9;1;0;1;-29,9950294;-51,13013296
205703;R MARQUES DO POMBAL & AV MARILAND;R MARQUES DO POMBAL;AV MARILAND;0;Cruzamento;COLISAO;20010102 10:40;TERCA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;0;BOM;DIA;EPTC;;NORTE;2;1;2001;10;1;0;1;-30,01948426;-51,19413242
212076;AV CRISTOVAO COLOMBO & AV PLINIO BRASIL MILANO;AV CRISTOVAO COLOMBO;AV PLINIO BRASIL MILANO;0;Cruzamento;CHOQUE;20010102 11:00;TERCA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;0;BOM;DIA;EPTC;;NORTE;2;1;2001;11;1;0;1;-30,0189496;-51,17672818
206561;AV PROF OSCAR PEREIRA & AV DA AZENHA;AV PROF OSCAR PEREIRA;AV DA AZENHA;0;Cruzamento;EVENTUAL;20010102 11:00;TERCA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;0;BOM;DIA;EPTC;;LESTE;2;1;2001;11;1;0;1;-30,05108604;-51,21288948
284822;171 AV JULIO DE CASTILHOS;AV JULIO DE CASTILHOS;;171;Logradouro;ATROPELAMENTO;20010102 11:10;TERCA-FEIRA;1;0;0;0;0;0;0;0;2;0;0;0;0;0;BOM;DIA;DEPTRAN;1801;CENTRO;2;1;2001;11;1;1;5;-30,02606469;-51,22510399
211178;340 R PROF ALVARO ALVIM;R PROF ALVARO ALVIM;;340;Logradouro;EVENTUAL;20010102 11:30;TERCA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;0;BOM;DIA;EPTC;;LESTE;2;1;2001;11;1;0;1;-30,03730825;-51,19871694
