ID;LOG1;LOG2;PREDIAL1;LOCAL;TIPO_ACID;LOCAL_VIA;DATA_HORA;DIA_SEM;FERIDOS;MORTES;MORTE_POST;FATAIS;AUTO;TAXI;LOTACAO;ONIBUS_URB;ONIBUS_INT;CAMINHAO;MOTO;CARROCA;BICICLETA;OUTRO;TEMPO;NOITE_DIA;FONTE;BOLETIM;REGIAO;DIA;MES;ANO;FX_HORA;CONT_ACID;CONT_VIT;UPS;LATITUDE;LONGITUDE
484245;R FERNANDES VIEIRA;;515;Logradouro;ABALROAMENTO;515 R FERNANDES VIEIRA;20100101 00:30;SEXTA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;0;BOM;NOITE;EPTC;_189198;NORTE;1;1;2010;0;1;0;1;-30,033057;-51,210946
483993;R OCTAVIO DE SOUZA;;400;Logradouro;ABALROAMENTO;400 R OCTAVIO DE SOUZA;20100101 05:35;SEXTA-FEIRA;1;0;0;0;1;0;0;0;0;0;1;0;0;0;BOM;NOITE;DEPTRAN;110;SUL;1;1;2010;5;1;1;5;-30,081069;-51,216833
484074;AV VICENTE MONTEGGIA;;500;Logradouro;CHOQUE;500 AV VICENTE MONTEGGIA;20100101 07:00;SEXTA-FEIRA;1;0;0;0;1;0;0;0;0;0;0;0;0;0;BOM;DIA;DEPTRAN;210;SUL;1;1;2010;7;1;1;5;-30,098473;-51,225282
484075;AV ICARAI;;746;Logradouro;CHOQUE;746 AV ICARAI;20100101 07:10;SEXTA-FEIRA;2;0;0;0;1;0;0;0;0;0;0;0;0;0;BOM;DIA;DEPTRAN;310;SUL;1;1;2010;7;1;1;5;-30,08416;-51,240436
489607;AV ASSIS BRASIL;;1508;Logradouro;CHOQUE;1508 AV ASSIS BRASIL;20100101 08:20;SEXTA-FEIRA;1;0;0;0;1;0;0;0;0;0;0;0;0;0;BOM;DIA;DEPTRAN;187210;NORTE;1;1;2010;8;1;1;5;-30,008514;-51,171238
484082;AV NONOAI;;260;Logradouro;CHOQUE;260 AV NONOAI;20100101 08:40;SEXTA-FEIRA;14;0;0;0;0;0;0;1;0;0;0;0;0;0;BOM;DIA;DEPTRAN;610;SUL;1;1;2010;8;1;1;5;-30,08582;-51,215811
484132;PSG ONZE CEFER DOIS;;583;Logradouro;COLISAO;583 PSG ONZE CEFER DOIS;20100101 10:30;SEXTA-FEIRA;1;0;0;0;1;0;0;0;0;0;1;0;0;0;NUBLADO;DIA;DEPTRAN;3510;LESTE;1;1;2010;10;1;1;5;-30,051204;-51,149091
484079;AV PROF OSCAR PEREIRA;AV DA AZENHA;0;Cruzamento;QUEDA;AV PROF OSCAR PEREIRA & AV DA AZENHA;20100101 11:00;SEXTA-FEIRA;1;0;0;0;0;1;0;0;0;0;1;0;0;0;BOM;DIA;DEPTRAN;510;CENTRO;1;1;2010;11;1;1;5;-30,050197;-51,212828
484077;AV BENTO GONCALVES;;1166;Logradouro;QUEDA;1166 AV BENTO GONCALVES;20100101 11:00;SEXTA-FEIRA;1;0;0;0;0;0;0;0;0;0;1;0;0;0;BOM;DIA;DEPTRAN;410;LESTE;1;1;2010;11;1;1;5;-30,052916;-51,201327
484086;ESTR JOAO ANTONIO SILVEIRA;;2830;Logradouro;ATROPELAMENTO;2830 ESTR JOAO ANTONIO SILVEIRA;20100101 11:30;SEXTA-FEIRA;1;0;0;0;0;1;0;0;0;0;0;0;0;0;BOM;DIA;DEPTRAN;710;SUL;1;1;2010;11;1;1;5;-30,149272;-51,132665
