ID;LOG1;LOG2;PREDIAL1;LOCAL;TIPO_ACID;LOCAL_VIA;DATA_HORA;DIA_SEM;FERIDOS;MORTES;MORTE_POST;FATAIS;AUTO;TAXI;LOTACAO;ONIBUS_URB;ONIBUS_INT;CAMINHAO;MOTO;CARROCA;BICICLETA;OUTRO;TEMPO;NOITE_DIA;FONTE;BOLETIM;REGIAO;DIA;MES;ANO;FX_HORA;CONT_ACID;CONT_VIT;UPS;LATITUDE;LONGITUDE;FATAL
510867;R RIACHUELO;AV BORGES DE MEDEIROS;0;Cruzamento;COLISAO;R RIACHUELO & AV BORGES DE MEDEIROS;20110101 03:25;SABADO;0;0;0;0;2;0;0;0;0;0;0;0;0;0;BOM;NOITE;EPTC;_205894;CENTRO;1;1;2011;3;1;0;1;-30,030682;-51,227723;N
510868;R VICENTE DA FONTOURA;AV PROTASIO ALVES;0;Cruzamento;COLISAO;R VICENTE DA FONTOURA & AV PROTASIO ALVES;20110101 03:30;SABADO;0;0;0;0;2;0;0;0;0;0;0;0;0;0;BOM;NOITE;EPTC;211113;LESTE;1;1;2011;3;1;0;1;-30,039418;-51,195864;N
510807;AV ROCIO;;46;Logradouro;ABALROAMENTO;46 AV ROCIO;20110101 03:40;SABADO;0;0;1;1;1;0;0;0;0;0;1;0;0;0;BOM;NOITE;DEPTRAN;111;LESTE;1;1;2011;3;1;1;13;-30,063102;-51,178508;S
510808;R DR PEREIRA NETO;;1058;Logradouro;ABALROAMENTO;1058 R DR PEREIRA NETO;20110101 04:35;SABADO;1;0;0;0;1;0;0;0;0;0;1;0;0;0;BOM;NOITE;DEPTRAN;211;SUL;1;1;2011;4;1;1;5;-30,107889;-51,241849;N
510809;AV CARLOS GOMES;;705;Logradouro;ABALROAMENTO;705 AV CARLOS GOMES;20110101 04:45;SABADO;1;0;0;0;1;1;0;0;0;0;0;0;0;0;BOM;NOITE;DEPTRAN;311;LESTE;1;1;2011;4;1;1;5;-30,027103;-51,181527;N
510810;AV BENTO GONCALVES;R PROF CRISTIANO FISCHER;0;Cruzamento;ABALROAMENTO;AV BENTO GONCALVES & R PROF CRISTIANO FISCHER;20110101 06:00;SABADO;2;0;0;0;1;0;0;0;0;0;1;0;0;0;BOM;NOITE;DEPTRAN;411;LESTE;1;1;2011;6;1;1;5;-30,060719;-51,169636;N
510811;AV MAURICIO SELIGMAN;;415;Logradouro;CHOQUE;415 AV MAURICIO SELIGMAN;20110101 07:15;SABADO;1;0;0;0;1;0;0;0;0;0;0;0;0;0;BOM;DIA;DEPTRAN;511;NORTE;1;1;2011;7;1;1;5;-30,006951;-51,095065;N
510812;R DR SEBASTIAO LEAO;AV JOAO PESSOA;0;Cruzamento;ABALROAMENTO;R DR SEBASTIAO LEAO & AV JOAO PESSOA;20110101 08:00;SABADO;2;0;0;0;2;0;0;0;0;0;0;0;0;0;BOM;DIA;DEPTRAN;611;CENTRO;1;1;2011;8;1;1;5;-30,042599;-51,214592;N
510813;R FREDERICO MENTZ;;120;Logradouro;QUEDA;120 R FREDERICO MENTZ;20110101 08:25;SABADO;2;0;0;0;1;0;0;0;0;0;0;0;0;0;BOM;DIA;DEPTRAN;711;NORTE;1;1;2011;8;1;1;5;-29,976628;-51,195991;N
510920;R DONA MARGARIDA;AV CEARA;0;Cruzamento;ABALROAMENTO;R DONA MARGARIDA & AV CEARA;20110101 10:05;SABADO;0;0;0;0;2;0;0;0;0;0;0;0;0;0;NUBLADO;DIA;EPTC;212279;NORTE;1;1;2011;10;1;0;1;-29,99943;-51,191131;N
