ID;LOG1;LOG2;PREDIAL1;LOCAL;TIPO_ACID;LOCAL_VIA;QUEDA_ARR;DATA_HORA;DIA_SEM;FERIDOS;FERIDOS_GR;MORTES;MORTE_POST;FATAIS;AUTO;TAXI;LOTACAO;ONIBUS_URB;ONIBUS_MET;ONIBUS_INT;CAMINHAO;MOTO;CARROCA;BICICLETA;OUTRO;TEMPO;NOITE_DIA;FONTE;BOLETIM;REGIAO;DIA;MES;ANO;FX_HORA;CONT_ACID;CONT_VIT;UPS;CONSORCIO;CORREDOR;LONGITUDE;LATITUDE;FATAL
558711;R DESEMBARGADOR AUGUSTO LOUREIRO LIMA;R ARMANDO PEREIRA CAMARA;0;Cruzamento;COLISAO;R DESEMBARGADOR AUGUSTO LOUREIRO LIMA & R ARMANDO PEREIRA CAMARA;0;20130101 02:10;TERCA-FEIRA;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;BOM;NOITE;DEPTRAN;1131712_;LESTE;1;1;2013;2;1;0;1;;0;-51,181636;-30,031851;N
559035;AV BENTO GONCALVES;R BARAO DO AMAZONAS;0;Cruzamento;ABALROAMENTO;AV BENTO GONCALVES & R BARAO DO AMAZONAS;0;20130101 03:00;TERCA-FEIRA;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;CHUVOSO;NOITE;EPTC;257995;LESTE;1;1;2013;3;1;0;1;;0;-51,191979;-30,059063;N
558759;AV IPIRANGA;AV ERICO VERISSIMO;0;Cruzamento;ABALROAMENTO;AV IPIRANGA & AV ERICO VERISSIMO;0;20130101 04:50;TERCA-FEIRA;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;CHUVOSO;NOITE;EPTC;257803;CENTRO;1;1;2013;4;1;0;1;;0;-51,218231;-30,047041;N
558713;AV EDGAR PIRES DE CASTRO;;1200;Logradouro;CAPOTAGEM;1200 AV EDGAR PIRES DE CASTRO;0;20130101 07:15;TERCA-FEIRA;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;BOM;DIA;DEPTRAN;113;SUL;1;1;2013;7;1;1;5;;0;-51,179404;-30,154475;N
558915;R ANITA GARIBALDI;;685;Logradouro;CHOQUE;685 R ANITA GARIBALDI;0;20130101 07:40;TERCA-FEIRA;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;BOM;DIA;EPTC;257970;LESTE;1;1;2013;7;1;0;1;;0;-51,18903;-30,025971;N
558917;AV PROTASIO ALVES;AV MANOEL ELIAS;0;Cruzamento;ABALROAMENTO;AV PROTASIO ALVES & AV MANOEL ELIAS;0;20130101 08:15;TERCA-FEIRA;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;NUBLADO;DIA;EPTC;257929;LESTE;1;1;2013;8;1;0;1;UNIBUS;0;-51,122363;-30,037871;N
571188;AV PROTASIO ALVES;AV MANOEL ELIAS;0;Cruzamento;ABALROAMENTO;AV PROTASIO ALVES & AV MANOEL ELIAS;0;20130101 11:00;TERCA-FEIRA;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;CHUVOSO;DIA;DEPTRAN;601213;LESTE;1;1;2013;11;1;1;5;;0;-51,122363;-30,037871;N
559027;R SEPE TIARAJU;;170;Logradouro;COLISAO;170 R SEPE TIARAJU;0;20130101 12:00;TERCA-FEIRA;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;BOM;DIA;EPTC;241434;SUL;1;1;2013;12;1;0;1;;0;-51,214591;-30,068501;N
558718;R WALT DISNEY;;200;Logradouro;CHOQUE;200 R WALT DISNEY;0;20130101 16:00;TERCA-FEIRA;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;BOM;DIA;DEPTRAN;513;LESTE;1;1;2013;16;1;1;5;;0;-51,143308;-30,003477;N
558719;R DR CARLOS MARIA BINS;;75;Logradouro;CHOQUE;75 R DR CARLOS MARIA BINS;0;20130101 18:10;TERCA-FEIRA;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;BOM;NOITE;DEPTRAN;613;NORTE;1;1;2013;18;1;1;5;;0;-51,113838;-30,015319;N
