LOG1;LOCAL;TIPO_ACID;DIA_SEM;TEMPO;NOITE_DIA;REGIAO;LONGITUDE;LATITUDE;ANO
R DR BARCELOS;Logradouro;QUEDA;QUARTA-FEIRA;BOM;DIA;SUL;-51,245255;-30,103397;2014
AV PADRE CACIQUE;Logradouro;QUEDA;SABADO;BOM;NOITE;SUL;-51,244228;-30,076054;2014
AV OTTO NIEMEYER;Logradouro;ATROPELAMENTO;SABADO;BOM;DIA;SUL;-51,241941;-30,104874;2014
AV PADRE CACIQUE;Logradouro;CHOQUE;QUINTA-FEIRA;BOM;NOITE;SUL;-51,240237;-30,071893;2014
AV EDVALDO PEREIRA PAIVA;Logradouro;ATROPELAMENTO;DOMINGO;BOM;NOITE;CENTRO;-51,236148;-30,060496;2014
AV PADRE CACIQUE;Logradouro;ATROPELAMENTO;SEGUNDA-FEIRA;BOM;DIA;SUL;-51,231593;-30,062504;2014
AV LOUREIRO DA SILVA;Logradouro;CHOQUE;QUINTA-FEIRA;BOM;NOITE;CENTRO;-51,229511;-30,037533;2014
AV DA CAVALHADA;Logradouro;ABALROAMENTO;DOMINGO;BOM;DIA;SUL;-51,229411;-30,105008;2014
AV BORGES DE MEDEIROS;Logradouro;ATROPELAMENTO;SABADO;BOM;NOITE;CENTRO;-51,228116;-30,036618;2014
AV BORGES DE MEDEIROS;Logradouro;ATROPELAMENTO;TERCA-FEIRA;BOM;DIA;CENTRO;-51,22774;-30,029729;2014
R DONA OTILIA;Cruzamento;ATROPELAMENTO;SEGUNDA-FEIRA;BOM;NOITE;SUL;-51,227326;-30,079799;2014
AV SENADOR SALGADO FILHO;Logradouro;ATROPELAMENTO;QUINTA-FEIRA;BOM;DIA;CENTRO;-51,227202;-30,029962;2014
AV DA CAVALHADA;Logradouro;CHOQUE;DOMINGO;BOM;NOITE;SUL;-51,226405;-30,112834;2014
AV LOUREIRO DA SILVA;Logradouro;ATROPELAMENTO;TERCA-FEIRA;BOM;DIA;CENTRO;-51,226391;-30,036769;2014
R GREGORIO DA FONSECA;Cruzamento;ATROPELAMENTO;SEXTA-FEIRA;BOM;DIA;SUL;-51,224258;-30,08787;2014
R PROF ANNES DIAS;Logradouro;ATROPELAMENTO;SEXTA-FEIRA;BOM;DIA;CENTRO;-51,221765;-30,028786;2014
AV EDUARDO PRADO;Logradouro;CHOQUE;QUARTA-FEIRA;BOM;DIA;SUL;-51,221722;-30,121507;2014
R A ILHA DO PAVAO;Logradouro;ATROPELAMENTO;SEGUNDA-FEIRA;BOM;DIA;NORTE;-51,221405;-29993069;2014
AV ERICO VERISSIMO;Logradouro;ABALROAMENTO;QUINTA-FEIRA;BOM;DIA;CENTRO;-51,220022;-30,043673;2014
AV DA SERRARIA;Logradouro;CHOQUE;SEXTA-FEIRA;BOM;NOITE;SUL;-51,219961;-30,152828;2014
TUN NS DA CONCEICAO-ELEVADAS;Logradouro;ATROPELAMENTO;QUINTA-FEIRA;BOM;NOITE;CENTRO;-51,219203;-30,025414;2014
AV JOAO PESSOA;Logradouro;ATROPELAMENTO;DOMINGO;BOM;DIA;CENTRO;-51,218968;-30,036974;2014
AV INDEPENDENCIA;Logradouro;ATROPELAMENTO;SEGUNDA-FEIRA;BOM;NOITE;CENTRO;-51,218868;-30,028553;2014
AV VICENTE MONTEGGIA;Logradouro;COLISAO;QUARTA-FEIRA;BOM;NOITE;SUL;-51,218471;-30,110179;2014
AV EDUARDO PRADO;Logradouro;ATROPELAMENTO;QUARTA-FEIRA;CHUVOSO;NOITE;SUL;-51,21832;-30,129106;2014
AV VICENTE MONTEGGIA;Logradouro;QUEDA;SABADO;BOM;DIA;SUL;-51,217954;-30,110573;2014
AV FARRAPOS;Logradouro;ABALROAMENTO;SABADO;BOM;NOITE;CENTRO;-51,217742;-30,025656;2014
AV JOAO PESSOA;Logradouro;ATROPELAMENTO;SEXTA-FEIRA;BOM;DIA;CENTRO;-51,215317;-30,041575;2014
AV JOAO PESSOA;Logradouro;CHOQUE;QUINTA-FEIRA;BOM;NOITE;CENTRO;-51,214333;-30,04297;2014
AV DA AZENHA;Logradouro;ATROPELAMENTO;TERCA-FEIRA;BOM;DIA;CENTRO;-51,214234;-30,043732;2014
AV DR CARLOS BARBOSA;Logradouro;ATROPELAMENTO;SEGUNDA-FEIRA;BOM;NOITE;SUL;-51,211945;-30,062607;2014
AV CRISTOVAO COLOMBO;Logradouro;ATROPELAMENTO;QUINTA-FEIRA;BOM;DIA;CENTRO;-51,211026;-30,023563;2014
AV ENG LUDOLFO BOEHL;Cruzamento;ABALROAMENTO;SEGUNDA-FEIRA;CHUVOSO;NOITE;SUL;-51,210192;-30,079984;2014
AV OSVALDO ARANHA;Logradouro;ATROPELAMENTO;SEXTA-FEIRA;BOM;DIA;CENTRO;-51,2098;-30,035486;2014
ESTR RETIRO DA PONTA GROSSA;Logradouro;CAPOTAGEM;SEGUNDA-FEIRA;BOM;NOITE;SUL;-51,20802;-30,182464;2014
R VICENTE DA FONTOURA;Cruzamento;ABALROAMENTO;QUARTA-FEIRA;BOM;DIA;LESTE;-51,208001;-30,052003;2014
AV DA LEGALIDADE E DA DEMOCRACIA;Logradouro;CHOQUE;SABADO;BOM;NOITE;NORTE;-51,207393;-29999710;2014
AV JUCA BATISTA;Logradouro;ATROPELAMENTO;SABADO;BOM;DIA;SUL;-51,206837;-30,146666;2014
AV IPIRANGA;Logradouro;CHOQUE;SEGUNDA-FEIRA;BOM;NOITE;LESTE;-51,206702;-30,042728;2014
AV CEL APARICIO BORGES;Logradouro;ABALROAMENTO;QUINTA-FEIRA;BOM;DIA;SUL;-51,204836;-30,074493;2014
R SAO MANOEL;Logradouro;CHOQUE;SEGUNDA-FEIRA;BOM;NOITE;LESTE;-51,203769;-30,044682;2014
R ERNESTO FONTOURA;Cruzamento;ABALROAMENTO;TERCA-FEIRA;BOM;DIA;NORTE;-51,202765;-30,006689;2014
AV CRISTOVAO COLOMBO;Logradouro;ATROPELAMENTO;QUINTA-FEIRA;BOM;DIA;NORTE;-51,201266;-30,017275;2014
R DONA LAURA;Cruzamento;ABALROAMENTO;SABADO;BOM;NOITE;LESTE;-51,201098;-30,028639;2014
AV CEL APARICIO BORGES;Logradouro;ATROPELAMENTO;SEXTA-FEIRA;BOM;NOITE;SUL;-51,199756;-30,072538;2014
AV SERTORIO;Logradouro;ABALROAMENTO;SEXTA-FEIRA;BOM;DIA;NORTE;-51,199507;-29998998;2014
AV CEL APARICIO BORGES;Logradouro;ATROPELAMENTO;TERCA-FEIRA;BOM;NOITE;SUL;-51,199409;-30,072471;2014
AV JUCA BATISTA;Logradouro;CHOQUE;DOMINGO;BOM;NOITE;SUL;-51,198756;-30,154484;2014
R EUCLYDES DA CUNHA;Cruzamento;ATROPELAMENTO;DOMINGO;BOM;DIA;LESTE;-51,198436;-30,052322;2014
R PAULINO AZURENHA;Logradouro;QUEDA;SABADO;BOM;DIA;SUL;-51,197991;-30,069786;2014
R LAURO MULLER;Cruzamento;ABALROAMENTO;QUARTA-FEIRA;BOM;DIA;NORTE;-51,197436;-29996240;2014
AV A J RENNER;Logradouro;ABALROAMENTO;SABADO;BOM;NOITE;NORTE;-51,196206;-29992367;2014
AV CEL LUCAS DE OLIVEIRA;Logradouro;ATROPELAMENTO;QUARTA-FEIRA;BOM;DIA;LESTE;-51,195872;-30,046097;2014
ESTR CRISTIANO KRAEMER;Logradouro;ATROPELAMENTO;SEGUNDA-FEIRA;BOM;NOITE;SUL;-51,195577;-30,135223;2014
R CAIRU;Cruzamento;ABALROAMENTO;QUARTA-FEIRA;BOM;NOITE;NORTE;-51,193415;-30,005736;2014
R CLEBERTO GUEDES;Logradouro;CHOQUE;QUARTA-FEIRA;BOM;DIA;SUL;-51,193371;-30,080651;2014
AV ERNESTO NEUGEBAUER;Logradouro;QUEDA;DOMINGO;BOM;DIA;NORTE;-51,192317;-29991996;2014
AV BENTO GONCALVES;Logradouro;ABALROAMENTO;SEGUNDA-FEIRA;BOM;DIA;LESTE;-51,192156;-30,058989;2014
AV BENTO GONCALVES;Logradouro;ABALROAMENTO;TERCA-FEIRA;BOM;NOITE;LESTE;-51,19204;-30,058994;2014
AV SERTORIO;Logradouro;ABALROAMENTO;QUARTA-FEIRA;BOM;DIA;NORTE;-51,190354;-30,000955;2014
ESTR RETIRO DA PONTA GROSSA;Logradouro;COLISAO;SABADO;BOM;DIA;SUL;-51,189396;-30,181088;2014
R EDU CHAVES;Logradouro;CHOQUE;SABADO;BOM;NOITE;NORTE;-51,188633;-29996841;2014
AV PROF OSCAR PEREIRA;Logradouro;CHOQUE;SABADO;BOM;NOITE;SUL;-51,187496;-30,086538;2014
R MARIA LUIZA PERES;Logradouro;COLISAO;SABADO;BOM;DIA;LESTE;-51,186452;-30,072292;2014
R GUILHERME ALVES;Logradouro;ATROPELAMENTO;SEGUNDA-FEIRA;BOM;DIA;LESTE;-51,186281;-30,050878;2014
AV IPIRANGA;Logradouro;CAPOTAGEM;DOMINGO;CHUVOSO;DIA;LESTE;-51,185553;-30,056006;2014
R GUILHERME ALVES;Logradouro;ATROPELAMENTO;TERCA-FEIRA;BOM;NOITE;LESTE;-51,185263;-30,048682;2014
AV DR NILO PECANHA;Logradouro;CHOQUE;TERCA-FEIRA;BOM;DIA;LESTE;-51,185052;-30,033418;2014
AV AUGUSTO MEYER;Logradouro;COLISAO;SABADO;BOM;NOITE;NORTE;-51,18501;-30,020445;2014
R DR SALVADOR FRANCA;Logradouro;ABALROAMENTO;SEXTA-FEIRA;BOM;NOITE;LESTE;-51,183337;-30,055516;2014
AV SEVERO DULLIUS;Logradouro;ABALROAMENTO;SEGUNDA-FEIRA;BOM;DIA;NORTE;-51,178763;-29987264;2014
AV BENTO GONCALVES;Logradouro;ATROPELAMENTO;QUARTA-FEIRA;BOM;DIA;LESTE;-51,178303;-30,062274;2014
AV PROF OSCAR PEREIRA;Logradouro;QUEDA;DOMINGO;BOM;NOITE;SUL;-51,17766;-30,095191;2014
AV JUCA BATISTA;Logradouro;ABALROAMENTO;SEXTA-FEIRA;BOM;NOITE;SUL;-51,176861;-30,173407;2014
