ENDERECO;LATITUDE;LONGITUDE
Av. Antônio de Carvalho 1655;-30.05501;-51.14717
Av. Antônio de Carvalho 2310;-30.04853;-51.14422
Av. Antônio de Carvalho 2079;-30.05092;-51.14491
R. Mal. José Inácio da Silva 450;-30.01293;-51.17843
Estrada Costa Gama 3501;-30.13802;-51.16879
Rua Dr. Otávio Santos 330;-30.03970;-51.14529
Av. Icaraí 1719;-30.09416;-51.24388
Rua Guadalajara 1106;-30.03707;-51.14398
Av. Padre Cacique 1178;-30.06838;-51.23702
Estrada Cristiano Kraemer 1621;-30.13002;-51.20055
Saturnino de Brito 1400;-30.02932;-51.15090
Av. Oscar Pereira 4445;-30.08503;-51.19087
Av. Baltazar de Oliveira Garcia 1956;-30.01233;-51.12474
Rua Ten. Ary Tarrago 285;-30.03948;-51.13557
Estr. Joao de Oliveira Remiao 6500;-30.12469;-51.10616
Rua Paul Harris 446;-30.02031;-51.14283
Av. Juca Batista 3156;-30.15266;-51.20089
Av. Voluntários da Pátria 1981;-30.01683;-51.21300
Av. Padre Leopoldo Brentano 423;-29.97600;-51.19451
Av. Padre Cacique 1365;-30.06919;-51.23825
