Logradouro;LATITUDE;LONGITUDE
Av. Assis Brasil 4935;-30.00566;-51.13861
Av. Assis Brasil 8207;-29.97786;-51.11452
Av. Bento Gonçalves 4021;-30.06240;-51.17592
Av. Bento Gonçalves 6963;-30.06839;-51.14657
Av. Bento Gonçalves 8083;-30.07406;-51.13708
Av. Bento Gonçalves 9519;-30.07718;-51.12280
Av. Cavalhada 3696;-30.10814;-51.22714
Av. Cavalhada 4414;-30.11447;-51.22597
Av. Dante Angelo Pilla 373;-30.01167;-51.11862
Av. Dr. Nilo Peçanha 350;-30.03261;-51.18441
Av. Dr. Nilo Peçanha 2122;-30.02787;-51.17080
Av. Dr. Nilo Peçanha 2715;-30.02813;-51.16441
Av. Edgar Pires de Castro 9331;-30.19647;-51.12830
Av. Eduardo Prado 1370;-30.13049;-51.21816
Av. Ipiranga 2860;-30.04406;-51.19928
Av. Ipiranga 8185;-30.05779;-51.15517
Av. João de Oliveira Remião 5740;-30.11743;-51.10889
Av. Juca Batista 2918;-30.15031;-51.20156
Av. Juca Batista 8455;-30.17795;-51.17606
Av. Manoel Elias 768;-30.02205;-51.11966
Av. Manoel Elias 1790;-30.03126;-51.12099
Av. Nonoai 849;-30.09077;-51.22004
Av. Padre Cacique 1804;-30.07664;-51.24380
Av. Pres. Castelo Branco Km 1;-30.00235;-51.20799
Av. Protasio Alves 7777;-30.04188;-51.13333
Av. Protasio Alves 10564;-30.04087;-51.10724
Av. Senador Tarso Dutra;-30.04462;-51.17690
Av. Wenceslau Escobar 1657;-30.10338;-51.25196
Rua Silva Só 280;-30.04051;-51.20395
Av. Edvaldo Pereira Paiva;-30.03747;-51.24138
